식별번호,시장명,시장유형,소재지도로명주소,소재지지번주소,위도,경도
10007,용산종합큰시장,상설장,대구광역시 달서구 달구벌대로 301길 187-11,대구광역시 달서구 용산동 933,35.8580507,128.5311724
10007,서남시장,상설장,대구광역시 달서구 달구벌대로 329길 17,대구광역시 달서구 감삼동 55-5,35.85436693,128.5451734
10007,서남신시장,상설장,대구광역시 달서구 달구벌대로329길 10,대구광역시 달서구 감삼동 62-4,35.85401333,128.5459007
10007,두류 신시장,상설장,대구광역시 달서구 당산동길 27,대구광역시 달서구 성당동 706-21,35.84527483,128.5462249
10007,두류종합시장,상설장,대구광역시 달서구 당산동길 9,대구광역시 달서구 성당동 704-5,35.84549251,128.5451423
10007,달서시장 상인회,상설장,대구광역시 달서구 당산로 27 35,대구광역시 달서구 본리동 145-2 -5번지,35.83984838,128.5442676
10007,도원시장,상설장,대구광역시 달서구 도원동길 8,대구광역시 달서구 도원동 1437-1,35.8075801,128.5367189
10007,대곡시장,상설장,대구광역시 달서구 도원로24,대구광역시 달서구 도원동 1432,35.80758305,128.5354588
10007,서대구시장,상설장,대구광역시 달서구 명덕로2길 30,대구광역시 달서구 두류1동 1216-1,35.86059821,128.5706868
10007,대동시장,상설장,대구광역시 달서구 상원로 22-24,대구광역시 달서구 상인2동 1472-1,35.81167078,128.5377864
10007,대구 상원시장,상설장,대구광역시 달서구 상인로9,대구광역시 달서구 상인동 1582-4,35.80902715,128.5512851
10007,상인영남상가 영남화성상가시장,상설장,대구광역시 달서구 상인서로 76,대구광역시 달서구 상인1동1517,35.8165179,128.5425774
10007,와룡시장,상설장,대구광역시 달서구 성서대로 69길 7,대구광역시 달서구 신당동 1788-3,35.85581625,128.4993262
10007,성서용산시장,상설장,대구광역시 달서구 성지로 66-1,대구광역시 달서구 용산동 421-1,35.85513785,128.5213741
10007,송현주공시장(월촌역시장),상설장,대구광역시 달서구 송현로12안길 38,대구광역시 달서구 송현동 1948-3,35.82274056,128.5481771
10007,송경시장,상설장,대구광역시 달서구 앞산순환로49길 73,대구광역시 달서구 송현1동 1941-3,35.82709695,128.5516336
10007,신내당시장,상설장,대구광역시 달서구 야외음악당로39길 62,대구광역시 달서구 두류3동 486-1,35.854621,128.5538543
10007,대구예전우시장,상설장,대구광역시 달서구 야외음악당로47길 111,대구광역시 달서구 두류동 136-6,35.85853624,128.5620318
10007,보성은하상가,상설장,대구광역시 달서구 월곡로 320,대구광역시 달서구 상인1동42,35.82358281,128.5342978
10007,월배시장,상설장,대구광역시 달서구 월배로24길 13,대구광역시 달서구 진천동 241-3,35.81407427,128.5273978
10007,보성화성상가,상설장,대구광역시 달서구 이곡동 계대동문로 99,대구광역시 달서구 이곡동 1191번지 보성화성상가,35.85566367,128.5041213
